content	NCRsurprise	SSPOL	OPW	BLNW	ONW	BLPW	NCRanticipation	APO	NRCHASHNEG	S140LEXPOS	ANE	avgNeg	SWP	NCRjoy	SWN	s140	NCRsadness	NCRnegative	NCRpositive	SSN	S140LEXNEG	avgPos	NCRdisgust	NCRanger	NRCHASHPOS	NCRtrust	NCRfear	SSP	SNpos	SNneg	SNpleas	SNatten	SNsensi	SNapt
@PHXPhoto thanks  we hope you enjoy it and welcome your input on what you'd like to see!	1	positive	4	0	0	3	2	10	-2.174	9.528	0	1	0.720276475	2	0	positive	0	0	2	-1	-0.232	3	0	0	3.124	2	0	3	1.69	0	1.275	3.266	-0.478	0.886
Whether you like me or not i would like to take this time out of my day and let yall know i love yall	0	positive	3	0	0	3	1	7	-6.935	2.78	0	2	1.0042123795	1	-0.6976966858	positive	0	0	1	-1	-2.862	3	0	0	2.845	0	0	3	1.148	-0.117	0.62	1.556	-1.067	1.982
@MsChassMarie lol tell him i got a bottle of graduates banana flava waitin for him lmao	0	positive	0	0	0	0	0	7	-4.645	3.41	0	1	0.2490234375	0	-0.09375	positive	0	0	0	-1	-1.089	3	0	0	3.011	0	0	3	0.215	0	-0.065	0.335	-0.108	0.483
Society may tolerate you  acquaintances may accept you  but friends understand you. #quote 	1	neutral	4	0	0	0	1	1	-6.056	4.368	0	1	0.2465820313	0	0	neutral	1	2	1	-1	-2.467	2	0	1	0.097	0	0	1	1.681	-0.072	1.882	1.127	-0.203	2.023
It appears that you have everything under control and your pos... More for Leo http://twittascope.com/twittascope/?sign=5	0	neutral	0	0	0	0	0	0	-2.998	2.546	0	1	0	0	-0.1544675827	neutral	0	0	0	-1	-2.251	2	0	0	1.843	0	0	1	0.729	0	0.212	0.969	-0.414	1.301
@ElijahRead Oh okay..So thats how you do?..LOL..Copy and Paste like that...LOL	0	positive	1	0	0	1	0	2	-2.568	1.055	0	1	0.1801757813	0	0	positive	0	0	0	-1	-0.411	2	0	0	0.502	0	0	2	0.575	0	0.434	0.695	-0.54	0.88
Home after Lucia's and Key skills this morning; had to attend due to a guest speaker talking about Uni - got me even more excited! Eeee :D	1	positive	2	0	0	1	1	3	-4.703	5.885	0	1	0.1609992981	1	-0.25	positive	0	0	1	-1	-4.556	3	0	0	6.468	1	0	4	1.1	0	0.05	1.692	-0.47	1.977
i haven't watched the newest episode of LOST yet  but i do have 5555 miles on my car. so there!	0	positive	0	1	1	0	0	0	-2.16	1.962	-3	2	0.03125	0	-0.7691364288	negative	1	1	0	-1	-5.398	2	0	0	2.636	0	0	2	0.402	0	-0.017	0.588	-0.272	0.908
RT @OneAndOnlyZel To all my new & old friends: I know I'm behind on my THANKS 4 follows  retweets  FF's  etc. 4give the lapse. I do love ya!	0	positive	2	1	1	1	0	5	-3.751	9.345	0	2	0.9337768555	1	-0.2499656677	positive	0	1	1	-1	-2.996	3	0	0	4.416	0	0	3	0.69	-0.097	0.476	0.625	-0.377	1.056
RT @BenCooper86 Mervyn King says he can't think of any reason why the UK would lose it's AAA rating - now will George Osborne shut up?	1	positive	2	1	1	0	0	0	-5.723	4.418	0	2	0.3275146484	0	-0.2004394531	negative	2	2	2	-1	-4.606	1	1	2	2.601	0	2	2	0.668	-0.029	-0.131	1.109	-0.09	0.97
hey ive just made my twitter  how do you talk to people on heree?	0	positive	1	0	0	0	0	0	-3.873	3.011	0	1	0.3288574219	0	-0.1255760193	positive	0	0	1	-1	-1.205	1	0	0	1.405	0	0	2	0.335	0	0.115	0.578	-0.281	0.59
@ansaudi satria dong sa ! Si dika mah geleh ah hahahah http://myloc.me/3GiEB	0	positive	0	0	0	0	0	3	-1.535	2.845	0	1	0	0	0	positive	0	0	0	-1	0	2	0	0	1.775	0	0	2	0	0	0	0	0	0
Farmville Players Send 220 Million Valentine's Day Virtual Gifts ...: Whenever I discuss virtual goods and the Fac... http://bit.ly/aJAiwC	0	neutral	0	0	0	0	0	0	-3.835	5.204	0	1	0.4384765625	0	-0.09375	neutral	0	0	1	-1	-0.997	1	0	0	3.322	0	0	1	0.331	0	0.028	0.528	-0.201	0.674
And obviously not forgetting the fact I'm gonna feel 122356325x worse :| Oh well...	0	negative	1	1	2	1	0	0	-3.917	1.198	-3	3	0.838846508	0	-0.65625	negative	1	1	0	-3	-4.37	1	0	0	1.126	1	1	2	0.521	0	0.027	1.065	-0.711	1.184
formspring.me - what would you like for valentine?s day? yummy truffles  stargazer lillies  a donation to... http://tumblr.com/xev6brjhk	0	positive	1	0	0	1	0	5	-1.823	5.73	0	1	0.8686523438	0	-0.0625	positive	0	0	1	-1	-0.853	2	0	0	4.289	0	0	2	0.749	0	0.546	1.023	-0.682	1.358
Bob Dylan ? Lenny Bruce http://bit.ly/bTENBS	0	neutral	0	0	0	0	0	0	0	2.189	0	1	0	0	0	neutral	0	0	0	-1	0	1	0	0	2.754	0	0	1	0	-0.042	-0.054	0	-0.073	0
Eh dia bos loh bdnny kok bau panas(?) yh?msh pagi loh ini http://myloc.me/3FaqI	0	neutral	0	0	0	0	0	0	-0.25	4.986	0	1	0	0	0	neutral	0	0	0	-1	-0.797	1	0	0	1.714	0	0	1	0	0	0	0	0	0
RT @aceshowbiz: Demi Lovato Writing New Song With Nick Jonas http://bit.ly/9CIaUO	0	neutral	0	0	0	0	0	0	-0.168	5.44	0	1	0.0758056641	0	0	positive	0	0	0	-1	0	1	0	0	2.34	0	0	1	0.266	-0.083	0.104	0.303	-0.23	0.416
@YoungMac24 that's the only game you have?	0	neutral	0	0	1	0	0	0	-1.282	0.8	0	2	0	0	-0.1328458786	neutral	0	0	0	-1	-0.7	1	0	0	0.141	0	0	1	0.136	0	0	-0.003	0	0.258
Even When Shit Get Hard - Im Going To - Make Sure That Im Around To Hold You [ DOWN ] - I`ll Never Leave Ya Side Until Tha Day I Die .	1	negative	2	3	2	0	0	0	-6.029	4.587	-9	2	0.8191524581	0	-1.2180898786	neutral	2	3	0	-2	-7.043	3	1	1	2.223	0	1	1	0.76	-0.834	-0.71	0.298	-0.91	0.334
http://i47.tinypic.com/2yo47qp.jpg A+  would lol again.	0	neutral	0	0	0	1	0	3	-1.193	1.228	0	1	0	0	0	neutral	0	0	0	-1	-0.286	2	0	0	0.989	0	0	1	0	0	0	0	0	0
to find actors of close age.. to get the book's description.. just like when they got daniel radcliffe for harry potter.. CONT'D	0	neutral	2	0	1	1	0	2	-2.579	5.621	0	1	0.6719412596	0	-0.097155571	neutral	1	1	0	-1	-2.105	1	0	1	5.785	0	0	1	1.322	0	1.046	1.909	-0.96	1.97
why do Hong Kong people like to have their air cons on SUPERCOLD!?!?! man  i need some socks or something!!!!	0	positive	1	1	0	1	0	2	-6.928	3.915	0	4	0.3764648438	0	-0.4271535873	negative	0	0	0	-1	-3.957	1	0	0	2.163	0	0	2	0.821	0	0.483	1.49	-1.052	1.54
RT @parismostwanted Check out @ParisMostWanted on IT'S MY TIME and VOTE for us :) http://casting.benetton.com/users/8081-paris-most-wanted	1	neutral	0	0	0	0	2	0	-0.906	3.165	0	1	0.1933510312	1	-0.0023841858	positive	1	1	1	-1	-0.466	2	0	1	1.169	1	0	1	0.582	0	-0.045	0.95	-0.181	1.021
@sononchalant what happened to snow at 6 pm? http://myloc.me/3G5Mk	0	neutral	0	0	0	0	0	0	-1.197	0.085	0	2	0.125	0	0	neutral	0	0	0	-1	-2.162	1	0	0	1.187	0	0	1	0.082	0	0	0.121	-0.12	0.244
Thank you @god for rewarding me for my crazy day. The guy at Subway gave me a free cookie  but this is muuuuch better!	0	positive	4	1	1	4	0	7	-1.569	7.649	-2	2	0.6538767815	0	-0.35546875	neutral	1	1	0	-1	-1.718	3	0	1	5.57	0	1	2	1.851	-0.152	1.503	1.37	-0.336	2.378
10 absolutely jaw dropping concept car designs http://ow.ly/15OnX	0	neutral	0	0	0	0	0	0	-0.009	2.041	0	1	0.765625	0	0	neutral	0	0	0	-1	-2.826	2	0	0	1.121	0	0	1	0.754	0	0.741	0.304	-0.059	1.275
i can feel that theres a growing pimple on my nose :(	0	neutral	0	1	0	0	0	1	-1.516	0.512	0	2	0.1245059967	0	-0.34375	negative	0	1	0	-1	-5.836	1	2	0	1.652	0	0	1	0.058	-0.089	-0.103	0.272	-0.363	0.102
Great sunny days with @tetongravity in the beauty mountains of BC...crew was sending!	1	positive	3	0	0	2	1	3	-0.938	4.242	0	1	0.94140625	2	-0.125	positive	0	0	2	-1	-0.444	3	0	0	8.777	0	0	3	1.881	0	2.113	2.213	-0.135	1.45
New blog post: Can Someone Help My Bro And His Angels & Demons Obsession? http://unfake.it/0WJO	0	negative	1	0	1	1	0	2	-2.041	4.277	0	1	0.0758056641	0	-0.2640991211	neutral	0	0	0	-3	-1.206	1	0	0	5.951	0	0	1	1.165	-0.032	1.007	1.402	-0.381	1.324
@itsBreezeBaby whats that ?? you no me im at work = (	0	neutral	0	0	0	1	0	0	-1.913	0.676	-1	2	0.0078738558	0	-0.1484375	negative	0	0	0	-1	-2.368	1	0	0	1.299	0	0	1	0	0	0	0	0	0
Found some cool free twitter backgrounds @ http://www.onixbee.com check it out!! #backgrounds #twitter	0	positive	1	0	0	2	0	2	-11.455	6.133	0	1	0.2970874318	1	-0.016910553	positive	0	0	2	-1	-0.194	3	0	0	1.511	1	0	2	1.316	0	1.204	1.652	-0.281	1.372
LMAO.. I am. But I mean this snow is annoyin RT @Nemeze: @CakeLoveK how can ur life suck u have me then ur boyfriend..btw u still with him>?	0	negative	0	1	0	0	0	4	-12.929	4.116	-3	2	0.290058136	0	-0.2587900162	positive	0	1	0	-3	-5.466	2	0	0	2.4	0	0	3	1.961	-0.026	1.562	2.884	-1.133	2.49
Self defense is a state of mind  it involves every aspect of our lives  our physical  mental and emotional safety.	0	negative	1	0	2	0	1	1	-4.122	1.919	0	1	0.4609375	0	-0.1039428711	neutral	0	0	1	-2	-1.684	1	0	1	1.823	0	1	2	0.476	-0.121	-0.186	0.887	-0.384	0.596
@XGlitr_ObsesdX for sme reason my eyes burn too idk	0	neutral	1	1	2	0	0	0	-2.485	0.219	0	2	0.392932415	0	-0.0625	neutral	0	0	1	-1	-3.089	1	0	0	0.874	0	0	1	0.405	-0.072	-0.173	0.773	-0.352	0.728
Sama2 sayang ? ? @NengMeryl: Great wednesday ? thanks to @padoeka @chiemuw @ImadhMadum et all to be the part of my superb day :)	0	positive	2	0	0	2	0	10	-1.497	5.335	0	1	1.3487548828	0	0	positive	0	0	1	-1	-1.497	4	0	0	7.587	0	0	3	1.239	0	0.971	1.218	-0.195	1.764
RT @tokyodymond_HLE: ii am leaveinq ; n imma delete my twitter ; n who wants my photoshop? <---ill take it :)	0	neutral	0	0	0	0	0	0	-3.702	1.446	0	3	0.1411142349	0	-0.09375	neutral	0	0	0	-1	-3.201	1	0	0	0.646	0	0	1	0.167	0	-0.021	0.345	-0.207	0.386
I pray also that the eyes of your heart may be enlightened in order that you may know the hope to which he has called you... Eph1:18	2	positive	2	0	0	0	2	5	-3.711	4.817	0	1	0.6068725586	2	-0.0321807861	neutral	0	0	2	-1	-2.734	2	0	0	2.515	2	1	3	1.052	-0.07	0.309	1.945	-0.454	1.027
RT @wandafay: avoid-an-audit-6-red-flags-you-should-Know http://icio.us/i420ea	0	neutral	0	0	0	0	0	0	0	0.613	0	2	0	0	0	neutral	0	0	0	-1	0	1	0	0	0.038	0	0	1	0	0	0	0	0	0
fuel-consumption data indicates weak growth http://bit.ly/bQL91T I First we had rail traffic data: Now we have this and with MSM spin  too	0	negative	0	2	3	0	1	2	-9.958	2.118	-2	2	0.0044136047	0	-0.7450590134	neutral	0	1	1	-2	-6.575	1	0	1	2.458	0	0	1	0.989	0	0.3	1.395	-0.484	1.809
RT @SleekMakeUP: Product Review - Foundation http://bit.ly/9vzY4l	0	neutral	0	0	0	0	0	0	-0.047	2.934	0	1	0.0020141602	0	0	neutral	0	0	1	-1	0	1	0	0	0.926	0	0	1	0.215	0	0	0.318	0	0.327
The Hollywood Reporter | Heat Vision | Comics | Movie News:Tim ...: Tim Robbins is joining the cast of Green Lant... http://bit.ly/cDRado	0	neutral	0	0	0	0	1	1	-1.616	6.839	0	1	0.0321044922	1	-0.1019592285	neutral	0	0	3	-1	-0.925	1	0	0	7.455	2	0	1	0.155	-0.216	-0.31	0.306	-0.461	0.37
Pressure mounting at Sunderland: Lorik Cana: Sunderland's winless run extended to 12 games following 1-1 ... http://bit.ly/dBAMHd telegraph	0	negative	0	0	0	0	0	0	-3.668	2.049	-1	2	0.0780925602	0	-0.25	neutral	0	1	0	-2	-1.95	1	0	0	2.803	0	0	1	0.074	-0.09	-0.035	-0.017	-0.113	0.085
@mobileadsmarket SAMSUNG MOBILE PHONES-THERE IS ONE FOR EVERYONE: South Korea during Samsung Gro... http://bit.ly/cyljCj #mobile #marketing	0	neutral	0	0	0	0	2	0	-1.991	1.978	0	1	0.0141601563	0	0	neutral	0	0	0	-1	-2.624	1	0	0	0.78	0	0	1	0.356	0	0.11	0.433	0.102	0.629
Makin' birthday macaroons that I shall drizzle with caramel sauce. Oh yeah. I do shit up BIG.	1	negative	0	1	0	0	1	2	-2.15	5.193	-4	1	0.2375106812	1	-0.3857078552	positive	0	1	1	-2	-2.111	2	1	1	8.255	0	0	1	0.795	-0.332	0.969	0.35	-0.316	0.386
one question  who thinks this is the real @nickjonas ? http://www.youtube.com/user/NickJonasBOUNCE	0	neutral	1	0	0	0	0	0	-2.477	1.229	0	1	0.2023925781	0	0	positive	0	0	2	-1	-1.329	1	0	0	1.645	1	0	1	0.328	0	0.038	0.518	-0.146	0.782
@indu666 heh me too actually... tho kannur i still kinda alive cause a close uncle lives there.. had been thr last week for theyyam \m/	0	neutral	0	0	2	0	1	1	-4.553	3.67	0	1	0.3757020018	1	-0.2046489716	negative	0	0	1	-1	-4.85	2	0	0	1.141	1	0	1	1.423	0	1.119	2.228	-0.941	1.862
@crazyblu1920 Yes  according to the amt you have in your possession. Its always been like that. A Base head (my sis) told me	0	positive	2	0	0	1	0	3	-8	3.093	0	1	0.5373229273	0	-0.2494535446	neutral	0	1	0	-1	-2.911	1	1	1	2.053	1	1	2	0.928	0	0.994	1.276	-0.931	1.324
@diefatdie at wok I just tell people I have eczema lol that I am itching my dry skin. Probs just as bad lol	0	negative	2	2	1	0	0	6	-5.141	2.138	-3	2	0.5942382813	0	-0.8734126091	neutral	1	1	0	-2	-5.978	2	1	1	5.698	0	1	2	0.485	-0.367	-0.609	0.846	-1.023	1.041
Ground is covered in snow outside but spring is in full bloom in attica's kitchen we are pouring beautiful hyacinth soy candles for the shop	0	positive	2	0	0	2	1	3	-0.593	3.402	0	2	0.8885498047	2	-0.015625	neutral	0	0	3	-1	-3.258	3	0	0	12.817	2	0	3	0.737	-0.064	0.104	0.9	-0.151	1.161
@mrmoneyman i don't like bein stuck in the house i'd rather go to class	0	positive	1	1	0	1	0	2	-2.645	0.079	-2	2	0.2145996671	0	-0.2030906677	negative	0	0	0	-1	-4.6	1	0	0	1.411	0	0	2	0.712	0	0.658	0.988	-0.499	0.988
RT @indyworld: Aerial photographs released of Twin Towers' collapse http://bit.ly/9fVshL	0	neutral	0	1	1	0	0	0	-0.78	2.869	-2	1	0.1788330078	0	-0.015625	neutral	1	1	1	-1	-0.324	1	1	0	2.364	0	1	1	0.084	-0.055	-0.133	0.089	0.057	0.082
@MizLadyLipz girl bye..yuh kno not...#bgc jux came on and tha >otha otha< iznt gonna miss that...do yuh watch it??	0	negative	0	1	1	0	1	0	-3.747	1.03	-2	1	0.3271484375	0	-0.0546875	neutral	0	0	0	-2	-2.235	2	0	0	1.053	0	1	2	0.144	-0.958	-0.981	0.156	0.611	-0.81
I am so pissed! me and my boyfriend broke up today! i broke up with him for the recorde!	0	negative	0	2	2	0	0	0	-1.369	1.982	-6	3	0.185546875	0	-1.15625	negative	2	2	0	-4	-8.227	1	0	0	2.993	0	2	2	0.577	0	0.088	0.74	-0.141	1.044
RT @bethannewatson: @Rue_La_La Yes. Exhibit A: Olivia Benson in Law and Order: SVU circa season 7 & 8.	0	neutral	1	0	0	0	0	1	-0.091	2.965	0	1	0.302734375	0	-0.1728057861	neutral	0	0	0	-1	-1.387	1	0	0	4.81	1	0	1	0.242	0	0	0.377	-0.057	0.404
@danicapatrick is CSI investigating brakes tampering  or a little nitro in the engine? Gd luck in Nationwide race #nascar	1	positive	1	0	1	1	1	3	-3.075	4.498	0	2	0.2504882813	1	-0.4116210938	neutral	0	0	1	-1	-1.064	1	0	0	3.33	0	0	3	0.552	0	1.045	0.161	0.773	1.224
UPDATE. :) Dead nanaman ako nito. (doh) Sorry Ate Mona. :'( http://plurk.com/p/3q1mes	0	negative	0	2	2	0	0	0	-2.757	0.639	-4	2	0.0469607115	0	-0.109375	negative	0	0	0	-2	-8.94	1	0	0	1.484	0	0	1	0	-0.525	-1.03	0.292	-0.814	-0.022
@jamesw650 omfg I cannot believe you just tweeted that? Are you effn serious with me?!	0	negative	1	0	1	0	0	0	-4.209	2.568	0	3	0.3405761719	0	-0.03125	neutral	0	0	0	-2	-7.666	1	0	0	1.003	0	0	2	0.514	-0.086	0.009	1	-0.49	0.765
Ninjas got mills$ I just want a couple too... So bad bout to cry? me a 50? juice?... @Chip216	0	negative	2	2	3	0	0	1	-3.661	0.987	-4	2	0.4226074219	0	-0.8135223389	neutral	2	3	0	-4	-5.517	1	1	2	2.939	0	1	1	0.393	-0.367	-0.469	0.83	-1.118	0.831
@judybopp LOL ohh i think i lost someone today realized it wasnt meant to be and hurts	0	negative	0	2	1	0	0	3	-4.004	0.776	-5	3	0.2106933594	0	-0.1452636719	negative	1	1	0	-3	-7.603	2	0	0	0.907	0	0	2	0.41	0	0.009	0.538	-0.357	0.864
RT @nrodovsky: RT @kimjack61: @lightxxx There are people on here just waiting to help..never underestimate twitter warriors 4 Haiti!	1	positive	1	1	1	0	0	0	-2.706	4.11	-1	1	0.3288574219	0	-0.21875	positive	0	0	0	-1	-1.203	2	0	0	1.849	0	0	2	0.318	0	0.27	0.388	-0.264	0.559
@DonnieWahlberg once again all the fun is overthere...... we miss you overseas :(	0	negative	1	1	1	1	1	4	-1.756	2.308	-2	2	0.34375	1	-0.2578125	neutral	0	0	1	-2	-2.475	2	0	0	1.569	0	0	2	0.224	-0.892	-0.955	0.275	0.652	-0.476
you guys are so stupid  seriously. fighting over people you will NEVER get. HAHA.	0	negative	1	1	2	0	0	3	-5.501	3.234	-2	3	0.0235023508	0	-0.640625	negative	0	2	0	-3	-3.891	1	0	1	0.043	0	0	2	0.284	-0.346	-0.041	0.482	0.745	0.5
i don't understand. i really don't. this course feels wrong  hospital radio isn't right  and i'm not happy.	0	negative	3	1	1	2	1	3	-4.903	2.263	-2	3	0.9921875	1	-1.4880822264	negative	1	1	2	-2	-6.383	1	0	0	2.974	2	1	1	1.337	-0.873	0.266	1.584	0.311	0.706
ArcelorMittal posts $1.68 billon loss for 2009 http://nxy.in/kemfi	0	negative	0	1	1	0	0	0	-2.201	1.298	-3	2	0	0	-0.076171875	neutral	1	1	0	-3	-1.664	1	0	1	0.564	0	1	1	0.171	-0.856	-0.815	0.219	0.884	-0.576
@Haley_Raschel LMAO yes it was lol I wasnt gonna put that pic up lol	0	positive	1	0	0	0	0	11	-4.778	2.959	0	2	0.3193359375	0	-0.03125	neutral	0	0	0	-1	-1.958	2	0	0	0.879	0	0	3	0.225	0	-0.004	0.309	-0.132	0.503
RT @HeavyHand Where is the  where is the  where is the TOILET TISSUE???? FUCK!!!!!!<~~~it's OK  you've been blessed with 2 hands..pick 1	0	negative	0	1	0	0	0	0	-2.633	7.009	-4	4	0.36328125	1	-0.375	negative	0	1	1	-4	-3.952	2	1	0	3.269	0	0	2	0.335	0	0.055	0.459	-0.171	0.661
@craigjettech but I really not like the spring in Macau  it's too wet!!	0	positive	1	0	1	1	0	2	-2.394	1.015	0	3	0.5708007813	0	-0.720703125	negative	0	0	0	-1	-3.563	1	0	0	2.026	0	0	2	0.522	-0.099	-0.061	0.925	-0.56	0.966
DesignerDepot: How iPad Affects the Way we Design Websites? http://bit.ly/cpErGv http://bit.ly/avjrzf via @YoTwits	0	neutral	0	0	0	0	0	0	-2.486	1.852	0	1	0.012878418	0	0	neutral	0	0	0	-1	-0.532	1	0	0	1.048	0	0	1	0.346	0	-0.035	0.557	-0.165	0.68
fresh out the shower ; currently watchinq the Steve Wilkos Show.	0	neutral	1	0	0	1	0	1	-0.62	3.494	0	1	0.1093788147	0	-0.130771637	neutral	0	0	0	-1	-0.078	2	0	0	3.94	1	0	1	0.27	-0.063	0.063	0.294	-0.164	0.431
RT @twitterdads: [echo'd] @EduardoCBraga: #Follow #Tuesday @darakurniawan @RAPAPLUS @AntonioTalent @twitterdads (cont) http://tl.gd/84kg3	0	neutral	0	0	0	0	0	0	0	2.116	0	1	0.1839614958	0	0	positive	0	0	0	-1	0	1	0	0	2.16	0	0	1	0	0	0	0	0	0
Decidedly not a good day. My bed never looked so welcoming.	1	positive	1	0	0	1	1	3	-1.447	2.993	0	2	1.0223409552	1	-1.1875	negative	0	0	1	-1	-2.118	2	0	0	3.574	1	0	2	0.978	-0.034	0.847	1.211	-0.2	0.977
Jerry Reed ' Blue Moon of Kentucky' http://www.youtube.com/watch?v=5sG22qCZ2g8&feature=rec-r2-2f-3-HM	0	neutral	0	0	1	0	0	0	-0.478	3.064	0	1	0	0	-0.0936164856	neutral	1	0	0	-1	-0.068	1	0	0	3.538	0	0	1	0	-0.209	-0.458	0.081	-0.25	0
@CNN Darkeness in the shadows of DC. Bethesda  MD has no power for 4 days..snow  30 inches  unploughed.. is this the new America? RT	0	neutral	0	0	0	0	0	0	-3.474	2.561	-1	3	0.3489990234	0	-0.1484375	negative	0	0	0	-1	-4	1	0	0	6.146	0	0	1	0.555	0	0.122	0.762	-0.291	1.071
@BrotherAlimpl is tonight's @worldcafe guest at 6pm on 91.3fm and wyep.org	0	neutral	0	0	0	0	0	0	0	1.015	0	1	0.03125	0	0	neutral	0	0	0	-1	-0.702	1	0	0	2.894	0	0	1	0.654	0	0	0.963	-0.057	1.056
I just entered to win a Skooba Design Messenger Bag! Follow @anyluckyday (daily contests) and comment to win http://bit.ly/cizppc	0	positive	1	0	0	2	1	8	-1.8	4.869	0	1	0.459840402	0	-0.1640625	neutral	0	0	0	-1	-1.34	2	0	0	2.6	1	0	2	1.412	0	0.849	1.852	-0.312	1.841
Hot Deal! Me to You Love You ?4 off from H Samuel http://tinyurl.com/yzl4s89	1	positive	3	0	0	2	1	3	-1.588	4.063	0	1	0.3522949219	2	-0.5181927681	neutral	0	0	2	-1	-0.575	2	0	1	3.323	1	0	3	0.563	0	0.623	0.372	-0.299	0.995
is nobody going to join my -we are englsih and dont like english summer's- crew? ;)	0	neutral	1	0	0	1	0	3	-1.918	2.098	0	2	0.1801757813	0	-0.1875	negative	0	0	1	-1	-3.418	2	0	0	1.987	1	0	1	0.323	-0.546	0.062	0.455	0.62	-0.216
@MAYHEM_VS1 word I think he a Brooklyn nigga lol	0	positive	0	0	0	0	0	3	-3.568	1.362	0	2	0.0074462891	0	-0.09375	neutral	0	0	1	-1	-0.944	2	0	0	0.321	1	0	2	0.129	0	-0.085	0.277	-0.095	0.292
@Justin_Tyrel Ur my sheep?? And @XhollywoodheroX Is Lil Bow trash heep lmao owwww	0	positive	0	1	0	0	0	4	-3.363	1.954	0	1	0.26953125	0	0	neutral	1	1	0	-1	-2.496	1	1	0	2.443	0	0	3	0.174	-0.023	0.057	0.062	0.001	0.146
@molesworth_1 bit of both with a meeting thrown in for good measure. What time you off down the track?	1	positive	1	0	1	1	3	3	-1.428	4.429	0	1	0.762042718	1	-0.522064209	positive	0	0	1	-1	-1.08	2	0	0	3.71	2	0	2	1.601	-0.343	0.243	2.228	-0.775	2.151
thanks snowmageddon for getting me out of tomorrow's test! you're the best (until shoveling time comes  that is.)	0	positive	1	0	0	1	2	5	-1.694	4.248	0	1	0.2759399414	0	-0.0336341858	positive	0	0	0	-1	-2.633	3	0	0	4.123	0	0	2	0.58	0	0.135	0.63	-0.124	1.099
Spotted backstage: #TED staffers sneaking in to watch The LXD rehearse. A-ma-zing.	0	negative	0	0	0	0	2	0	-0.306	6.974	0	1	0.5380859375	0	-0.5	neutral	0	1	0	-2	-2.046	1	0	0	3.027	1	2	1	0.082	-0.033	-0.026	0.017	0.035	0.077
RT @Ashtaad: @darnoff Hard Rock? RIP Anna Nicole! #freeweezy Get Money  Son! Made a hundo  goin to see fv n the 4seasons live #freeweezy	1	positive	1	2	1	0	1	0	-4.01	5.424	-1	1	0.1801100978	1	-0.3550146222	neutral	0	0	2	-1	-3.902	1	0	1	3.052	1	0	2	0.252	-0.092	-0.08	0.311	-0.202	0.445
RT @rmccue: My school has an SQL injection bug in their site. Gotta love being a better programmer than the professionals.	0	positive	2	1	1	2	0	5	-2.666	3.309	0	1	1.027923584	1	-0.21484375	positive	0	1	1	-1	-4.814	2	1	0	3.196	1	2	3	0.575	-0.079	0.527	0.365	-0.143	0.897
yawl remember when bobby valentino came out? slow down was the summer jammmmmmmmm	0	positive	0	1	2	0	0	0	-1.777	1.95	0	1	0.2800002247	0	-0.0695228577	negative	0	0	0	-1	-1.936	1	0	0	2.583	0	0	2	0.125	-0.312	-0.84	0.458	-0.427	0.249
i love usher 2! RT @bianca4life: i love Usher like @Jazzylamby love Bow Weezy! so damn serious i've been playin his ish ova and ova all day!	0	positive	4	1	2	4	0	11	-6.252	6.92	-4	1	1.6872558594	3	-0.34375	positive	0	1	5	-2	-5.338	4	1	1	9.364	2	0	3	0.976	-0.116	0.901	1.066	-0.667	1.215
@mckeay First aid isn't possible - you need a fresh start - reanimating a corpse is not first aid.	0	neutral	1	0	0	1	1	1	-1.866	4.62	-1	2	0.4228897095	0	-0.9623682499	neutral	1	1	2	-1	-1.697	1	1	0	4.726	0	0	1	0.537	-0.046	0.079	1.143	-0.766	1.02
WFH until my delivery appears today  then off to Glamourville	0	positive	0	0	0	0	1	0	-0.092	0.275	0	1	0.1015625	0	-0.4145507813	neutral	0	0	1	-1	-3.207	1	0	0	1.163	0	0	2	0.258	0	0.167	0.262	-0.524	0.695
I hate Lloyds Bank. They want me to phone them up everytime I want to do something. I fact I hate banks in general.	0	negative	2	2	2	0	0	2	-10.024	1.039	-6	3	0.1015625	0	-1.9130516052	neutral	2	2	1	-4	-10.144	1	2	2	0.376	3	2	1	0.333	-0.835	-0.633	0.711	0.344	-0.237
RT @RevRunWisdom: Dbl check who ur hangin with:: Many ppl think they're wise   because they're hanging with idiots (who u wit?)	0	neutral	1	1	1	1	0	0	-8.517	7.607	0	2	0.282340289	0	0	positive	1	1	2	-1	-2.795	1	1	1	2.926	0	1	1	1.295	0	0.662	1.927	-0.21	1.505
RT @Idothat2: Are You OK? I'M CRYING MY EYES OUT DO I LOOK F-ING OK!?! #idothat2	0	negative	0	0	0	0	0	0	-2.571	3.533	-2	5	0.4369812012	0	-0.4398498535	negative	1	1	0	-4	-4.941	1	0	0	1.276	0	0	2	0.165	0	-0.043	0.222	0	0.316
Interesting! RT @Etsy: Free is not a Marketing Tool http://bit.ly/aUknth interesting post on Make and Meaning	0	positive	3	0	0	3	0	5	-1.813	6.984	0	1	1.0944590867	0	-0.7521972656	neutral	0	0	2	-1	-0.868	1	0	0	3.664	0	0	3	1.228	0	0.726	1.446	-0.308	1.821
Pretty dope funk thing by my boy @arch_typ => Hands to Hats: http://lnk.ms/5tzdM	0	positive	1	1	1	1	1	1	-0.614	2.455	0	1	0.1328125	1	-0.5634765625	neutral	1	2	1	-1	-0.832	2	1	0	3.62	1	0	3	1.052	-0.031	0.859	1.226	-0.094	1.072
