content	timeStamp	tweetId	userId	topic	swn3_negative_words	sentiStrength_pos	afinn_positive_words	afinn_positiveness	swn3_neutral_words	afinn_negative_words	afinn_negativeness	label	lex_positive_words	swn3_negativeness	swn3_positive_words	swn3_positiveness	lex_negative_words	supervised_polarity	sentiStrength_neg	emo_joy	emo_anticipation	emo_fear	emo_trust	emo_sadness	emo_anger	emo_surprise	emo_disgust
waiting for Jacob @fairview @apple storeee	2011-10-17 21:16:59	126044055644807000	noUser	apple	0	2	0	0	1	0	0	neutral	0	0	1	0.125	0	neutral	-1	0	0	0	0	0	0	0	0
RT @DJTREBEL1: #fail i guess @apple didnt notify these clowns that the iPhone5 isnst out yet.... http://t.co/2yCDNt1B	2011-10-17 21:10:50	126042506717704000	noUser	apple	5	1	0	0	1	1	-2	neutral	0	-0.6939125061	0	0	1	negative	-2	0	0	0	0	0	0	1	0
Seriously PISSED at @apple just got a notification that our order for my iPhone 4S has been cancelled and won't ship. Wtf!?	2011-10-17 21:09:22	126042137740575000	noUser	apple	4	1	0	0	4	3	-9	negative	1	-0.7509307861	1	0.1726074219	1	negative	-4	0	2	0	0	0	0	0	0
@apple HEY OS 5 Really sux!!! Ur &quot;Tech Support&quot; sux!!  Thanks for all you do!!!	2011-10-17 21:08:54	126042022900548000	noUser	apple	2	2	1	2	3	0	0	negative	0	-0.1327781677	2	0.734375	0	positive	-1	0	0	0	0	0	0	0	0
#fail i guess @apple didnt notify these clowns that the iPhone5 isnst out yet.... http://t.co/2yCDNt1B	2011-10-17 21:07:55	126041773356233000	noUser	apple	5	1	0	0	1	1	-2	neutral	0	-0.6939125061	0	0	1	negative	-2	0	0	0	0	0	0	1	0
#Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/nDRpciY9 #PampersHelloApps	2011-10-17 21:07:06	126041570876203000	noUser	apple	3	2	1	4	2	0	0	neutral	0	-0.2124023438	3	0.1826362358	0	positive	-1	1	0	0	0	0	0	0	0
New macbook is too sick @apple	2011-10-17 21:02:16	126040352237961000	noUser	apple	2	1	0	0	0	1	-2	positive	0	-0.1948242188	1	0.0758056641	2	neutral	-1	0	0	0	0	1	0	0	1
Play on ma man. Loving the camera in the #iphone4s. Well done @apple  #fb http://t.co/tmdFqRe1	2011-10-17 21:01:10	126040074596000000	noUser	apple	1	4	1	2	3	0	0	positive	1	-0.015625	5	1.0949941892	0	positive	-1	1	0	0	1	0	0	0	0
iPhone 4S First Weekend Sales Top Four Million: http://t.co/Dm4acTYv via @Apple themselves. Big sales for the new phone.	2011-10-17 21:01:04	126040050441011000	noUser	apple	3	1	2	3	4	0	0	neutral	1	-0.2187538147	3	0.2171440125	0	neutral	-1	0	1	0	1	0	0	0	0
@Apple Store  I feel like adding to my collection...Can't decide between a Macbook Pro, iPad 2, Macbook air, or a iPhone 4 #Jap_Problems	2011-10-17 21:00:35	126039929523405000	noUser	apple	4	2	1	2	7	0	0	positive	2	-0.21875	2	0.208612442	0	negative	-2	0	1	0	0	0	0	0	0
Iphone: Watch Siri &quot;Work&quot; On the Old iPhone 4 - @Gizmodo http://t.co/dGPWL0r0 @apple allow commands from iPhone 4. Stop playin!	2011-10-17 20:58:58	126039521853846000	noUser	apple	1	2	1	1	2	1	-1	neutral	1	-0.0031728745	4	0.365234375	0	neutral	-1	0	1	1	0	0	0	0	0
Let's see how long this @apple store appointment actually takes. Was scheduled for 450...	2011-10-17 20:57:15	126039090578735000	noUser	apple	2	1	0	0	2	0	0	neutral	0	-0.0233154297	3	0.189026475	1	neutral	-1	0	2	0	0	0	0	0	0
Apparently fuzzball crashes on #iOS5. Congratulations @apple on another incompatible upgrade	2011-10-17 20:52:15	126037831301870000	noUser	apple	2	1	1	2	1	0	0	negative	2	-0.3943789063	4	0.7862548828	1	neutral	-1	0	0	0	0	1	1	0	1
could @apple lion please integrate vertical spaces in mission control. this horizontal business is making me nauseous	2011-10-17 20:48:07	126036793970786000	noUser	apple	2	2	1	1	8	0	0	negative	1	-0.5136566162	2	0.10546875	0	neutral	-1	0	0	1	0	1	0	0	1
Can someone plz explain to me whhyy @apple is only distributing 2-3 phones per day to the sprint stores. I'm really ... http://t.co/uf9taK8f	2011-10-17 20:39:02	126034507475337000	noUser	apple	2	2	0	0	4	0	0	negative	0	-0.0390625	3	0.5166015625	0	negative	-1	0	0	0	1	0	0	0	0
So yeah... @apple #iOS5 #readinglists have changed my life. #nowicanspendevenmoretimeonmyphone.	2011-10-17 20:39:00	126034495991329000	noUser	apple	1	1	1	1	2	0	0	positive	0	-0.1244535446	2	0.1562805176	0	neutral	-1	0	0	0	0	0	0	0	0
@apple really disappointed with all the glitching with ios5 #whatthehell	2011-10-17 20:36:01	126033747991736000	noUser	apple	1	3	0	0	0	1	-2	negative	0	-0.5	2	0.734375	1	negative	-3	0	0	0	0	1	1	0	1
GAH. @apple iOS 5 opens text messages painfully slow, on top of 3 restore attempts 2 succeed. Early adopterness gets better of me.	2011-10-17 20:28:57	126031969166434000	noUser	apple	4	3	3	5	5	0	0	negative	4	-0.1999549866	4	0.7381286621	2	negative	-4	1	2	0	2	1	0	1	0
@WIREDInsider beautiful, yes. though it simply reminds me of @apple's spinning wheel of death. clock, reinvented: http://t.co/tJcJAqfl	2011-10-17 20:26:57	126031463647945000	noUser	apple	1	3	2	4	6	1	-2	neutral	2	-0.001953125	3	1.15625	1	neutral	-1	1	2	1	0	1	1	1	1
Dear @apple: Why did all my PDFs and ePub files disappear from ibooks in my iPhone post ios5 upgrade? This hurts. #3GS #needsomethingtoread	2011-10-17 20:24:51	126030936084189000	noUser	apple	2	2	1	2	2	2	-3	negative	2	-0.1877441406	3	0.9971923828	0	negative	-3	0	0	1	0	0	0	0	0
Dear @apple: Integrated tweeting in ios5 RAWKS. Plz consider adding @ and # lookup like @twitter app. Thx! http://t.co/5uHsTEPz	2011-10-17 20:21:30	126030091892433000	noUser	apple	0	2	2	4	3	0	0	neutral	2	0	3	0.7490234375	0	positive	-1	0	0	0	0	0	0	0	0
â€œ@CBM: Lies @apple. the battery on this new iPhone4S is definitely not any better.â€ &lt;&lt; check Settings: 8 times more App usage in iOS 5	2011-10-17 20:20:04	126029733325582000	noUser	apple	2	1	0	0	5	0	0	negative	1	-0.62890625	6	0.919059039	1	neutral	-3	0	0	0	0	0	1	0	0
@apple... is it true that the 4s is named after #stevejobs.. &quot;For S&quot;? I hope so that is so touching!	2011-10-17 20:17:37	126029114850296000	noUser	apple	1	3	2	4	4	0	0	neutral	2	-0.03125	3	0.2900009155	0	neutral	-1	2	1	0	2	0	0	1	0
@Apple Safari Reader owns the worldwide web	2011-10-17 20:08:14	126026756623831000	noUser	apple	1	1	0	0	2	0	0	positive	0	-0.1875	1	0.064453125	0	neutral	-1	0	0	0	0	0	0	0	0
Easiest way to use Evernote with iPhone 4S Siri. Just tell Siri to Email Evernote and say your note. @evernote @apple #evernote #siri	2011-10-17 19:51:26	126022527578407000	noUser	apple	0	1	0	0	1	0	0	neutral	2	0	6	0.6430053711	0	positive	-1	0	0	0	0	0	0	0	0
@Apple sells record 4M #iPhone4S phones in first 3 days!	2011-10-17 19:47:06	126021436149211000	noUser	apple	0	2	0	0	3	0	0	neutral	0	0	2	0.1920051575	0	neutral	-1	0	0	0	0	0	0	0	0
As a huge podcast fan - I really feel like @Apple dropped the ball on this one. http://t.co/wvzPrbCI via @Carrypad	2011-10-17 19:45:48	126021108641182000	noUser	apple	4	2	3	6	2	0	0	negative	1	-0.28125	6	0.6466007233	0	neutral	-1	0	0	0	0	0	0	0	0
@brady I am surprised @apple did not think of/anticipate that......	2011-10-17 19:39:08	126019432194650000	noUser	apple	4	1	0	0	0	0	0	neutral	0	-0.8125	1	0.0074462891	0	neutral	-1	0	0	0	0	0	0	1	0
I love @apple service . My case has cracked 3x and I go in and they hand me a case and I walk out	2011-10-17 19:38:59	126019393460244000	noUser	apple	7	3	1	3	2	0	0	positive	1	-0.4398841858	6	0.4781189542	0	neutral	-1	1	0	3	0	2	1	0	0
#iMessage is here wid iOS5 RIP #BBM @cultofmac @apple	2011-10-17 19:35:35	126018538531062000	noUser	apple	1	1	0	0	1	0	0	neutral	0	-0.046875	0	0	0	negative	-1	0	0	0	0	0	0	0	0
I don't really like Siri's voice. Perhaps @apple can get Star Wars voices just like @garmin http://t.co/pSUJg9pN	2011-10-17 19:33:56	126018120983904000	noUser	apple	2	3	2	4	2	0	0	negative	4	-0.1562156677	7	1.0322303781	0	positive	-3	1	1	0	1	0	0	0	0
iPhone 4S sales top 4 million in the first weekend.  @Apple can sell anything to everyone.  http://t.co/dRFmmfAY	2011-10-17 19:32:12	126017685246050000	noUser	apple	2	1	1	2	5	0	0	neutral	1	-0.0625038147	2	0.0981636047	0	neutral	-1	0	1	0	1	0	0	0	0
It's a good thing @apple has not came out with an iCar because I would be in line for one and im sure it would be expensive	2011-10-17 19:32:02	126017643747607000	noUser	apple	6	2	1	3	3	0	0	neutral	2	-0.8783607483	7	1.4302159589	1	negative	-1	1	1	0	1	0	0	1	0
â€œ@carlton858: I really hate dealing with the brain dead people at the @apple store. For such good products, customer service sucks.â€ in NZ?	2011-10-17 19:27:49	126016585348559000	noUser	apple	4	2	1	3	6	3	-9	negative	1	-0.65625	4	1.2104149479	2	negative	-5	1	2	1	1	1	1	1	1
RT @carlmilner: RT @petapixel: iPhone 4S vs Canon 5D Mark II - A side-by-side comparison of 1080p HD video: http://t.co/qMyMIV7z &lt;&lt;@apple Wow!!	2011-10-17 19:27:28	126016494701257000	noUser	apple	2	4	1	4	3	0	0	neutral	1	-0.125	2	0.1329956036	0	neutral	-1	0	0	0	0	0	0	0	0
The iPhone update has segregated my contacts between iPhone users and non-iPhone users. They just had to call out those non-users @apple	2011-10-17 19:27:06	126016405085757000	noUser	apple	2	1	0	0	3	0	0	neutral	1	-0.1897988347	1	0.1726074219	0	negative	-1	0	0	0	0	0	0	0	0
I really hate dealing with the brain dead people at the @apple store. For such good products, customer service sucks.	2011-10-17 19:21:31	126014999444468000	noUser	apple	4	2	1	3	5	3	-9	negative	1	-0.65625	4	1.2104149479	2	negative	-5	1	2	1	1	1	1	1	1
@apple @internode #icloud #ios5 #piracy omg no wonder ive used all my downloads!!	2011-10-17 19:20:06	126014643826209000	noUser	apple	1	2	0	0	1	1	-1	neutral	1	-0.1484375	3	0.6796875	0	neutral	-1	0	0	0	0	0	0	0	0
You can make photo albums in the Photos app with iOS 5, but can't password protect them? Um... @apple, fix that. Quickly.	2011-10-17 19:19:42	126014540721828000	noUser	apple	2	1	1	1	8	0	0	negative	1	-0.376159668	1	0.2421875298	0	neutral	-1	0	0	0	0	0	0	0	0
RT @developerprog: First @Apple #iPhone #4S sales smash all records. http://t.co/cXBevF7h	2011-10-17 19:18:39	126014277814469000	noUser	apple	1	1	0	0	1	0	0	neutral	0	-0.0818901062	2	0.3481636047	1	neutral	-1	0	0	1	0	0	1	0	0
@apple Iphone's &amp; Ipad's beautiful technology but alltogether mainly a marketing platform. It's obscure is'nt it? Apple lost it's touch.	2011-10-17 19:18:24	126014214467895000	noUser	apple	3	3	1	3	9	1	-3	neutral	1	-0.2810058594	2	0.7196807601	2	neutral	-1	1	0	0	0	1	0	0	0
@JarjarTee @apple That's really good. Makes you happy to pay the infamous @apple tax :)	2011-10-17 19:17:57	126014102379303000	noUser	apple	1	3	2	6	1	1	-1	neutral	2	-0.875	4	1.6776143927	1	positive	-1	3	3	1	3	1	1	1	1
Hall Pass had me rolling...... @Apple bee's lookin for nookie really	2011-10-17 19:16:04	126013626426466000	noUser	apple	1	1	0	0	4	0	0	neutral	0	-0.015625	2	0.4565429336	0	neutral	-1	0	0	1	0	0	1	0	0
@hanrahan52 @apple Don't say things you can't take back, Joel.	2011-10-17 19:12:55	126012833128391000	noUser	apple	2	1	0	0	2	0	0	neutral	1	-0.2499656677	3	0.3154916745	0	neutral	-1	0	0	0	0	0	0	0	0
Anyone else seeing missing signal bars on their #iPhone 3GS with an upgrade to #iOS5? cc/ @applecanada @apple @forstall	2011-10-17 19:12:52	126012822936232000	noUser	apple	3	1	0	0	1	1	-2	negative	1	-0.78125	3	0.3214111328	0	negative	-2	0	0	1	0	1	0	0	0
@coatgal @apple considering his circumstances - suffering faults on/off for long periods -They replaced his phone with a new as a  goodwill	2011-10-17 19:11:39	126012515019784000	noUser	apple	6	1	0	0	0	1	-2	neutral	1	-1.0740966797	3	0.4648056641	2	neutral	-4	0	1	1	0	1	0	0	1
Truth. RT@hanrahan52 Dear @apple you SUCK! Thanks that is all	2011-10-17 19:11:13	126012404332114000	noUser	apple	0	2	2	4	1	1	-3	negative	2	0	4	0.921875	0	neutral	-3	0	0	0	1	0	0	0	0
Dear @apple you SUCK! Thanks that is all	2011-10-17 19:09:57	126012089415381000	noUser	apple	0	2	2	4	1	1	-3	negative	1	0	3	0.7265625	0	neutral	-3	0	0	0	0	0	0	0	0
@coatgal had a really interestng experience up in the @Apple store though, Paul was with me up there, faulty #iphone4 - but out of warranty	2011-10-17 19:06:07	126011120694727000	noUser	apple	5	3	0	0	7	0	0	neutral	0	-0.2055091858	3	0.498046875	1	neutral	-2	0	1	0	1	0	0	0	0
@apple @appstore @mac @iOs @Ipad @siri Will siri be available for iPad 2?	2011-10-17 19:03:32	126010471202566000	noUser	apple	0	1	0	0	1	0	0	neutral	1	0	3	0.0977783203	0	neutral	-1	0	0	0	0	0	0	0	0
Said to have laid out the next 4 years @apple.Jobs last iPhone is 2012 not the iPhone4S. iPhone(4G/5) 2012 is magical! http://t.co/DxxklUBp	2011-10-17 19:00:39	126009748020658000	noUser	apple	5	2	0	0	4	0	0	positive	1	-1.0330877304	1	0.0019212961	0	negative	-1	1	1	0	0	0	0	1	0
Can this ho Siri update your tweets? cc: @apple @iPhone_News	2011-10-17 18:59:13	126009386022879000	noUser	apple	0	1	0	0	4	0	0	neutral	0	0	0	0	0	neutral	-1	0	0	0	0	0	0	0	0
RT @CBM: Lies @apple. the battery on this new iPhone4S is definitely not any better.	2011-10-17 18:57:20	126008913400304000	noUser	apple	2	1	1	2	1	0	0	negative	2	-0.62890625	4	0.9076843262	1	neutral	-3	0	0	0	0	0	1	0	0
@Apple's Success is Also #Google's Gain as #Mobile #Advertising Balloons http://t.co/0400ynQY	2011-10-17 18:56:48	126008776322064000	noUser	apple	2	3	2	4	2	0	0	neutral	2	-0.125	3	0.4386901855	0	neutral	-1	2	3	0	0	0	0	0	0
Kind of excited. On my way to my last class right now and then going to the @Apple store, so buy #MacOSC Snow Leopard and Lion :-)	2011-10-17 18:55:11	126008369562653000	noUser	apple	3	3	2	5	4	0	0	positive	3	-0.213187512	9	0.8920580149	0	positive	-1	2	2	1	2	0	0	1	0
@_alastair w/ respect, the old alternatives were talking to a computer in india or the geek squad. @apple does a pretty great job.	2011-10-17 18:52:32	126007705600135000	noUser	apple	6	4	2	4	5	0	0	neutral	3	-0.4756126404	3	0.5419921875	0	positive	-1	2	2	0	2	0	0	0	0
Updating to IOS5 with my regular iphone4 just made it slower and messed up.. @apple give me a free 4S and we can call it even, thanks	2011-10-17 18:49:36	126006966312108000	noUser	apple	4	2	2	3	7	1	-2	negative	3	-0.2736018981	5	0.4016947746	0	positive	-1	0	0	0	0	0	0	0	0
@IronAndWine &quot;Tree by the River&quot; playing in the @Apple Store. #YES	2011-10-17 18:48:25	126006669535744000	noUser	apple	1	2	1	1	3	0	0	neutral	1	-0.25	1	0.25	0	neutral	-1	0	1	0	0	0	0	0	0
@jackiestone1 yes! Tech peeps talk so much about algorithms, but tech should always tie back to people. @apple proves this #imediasummit	2011-10-17 18:48:02	126006572420833000	noUser	apple	2	2	1	1	6	0	0	neutral	2	-0.0631103516	4	0.6977539044	0	positive	-1	0	0	0	0	0	0	0	0
The great tech battle ft @facebook @amazon @apple and more http://t.co/ws4lWWXy via @fastcompany	2011-10-17 18:47:09	126006349959135000	noUser	apple	1	3	1	3	3	1	-1	neutral	1	-0.125	1	0.06640625	1	positive	-1	0	0	0	0	0	1	0	0
@apple If you want to know what customers think dont send updates with the &quot;noreply&quot; return address. Who invented that anyway. #useless	2011-10-17 18:46:13	126006116168643000	noUser	apple	3	1	1	1	2	1	-2	negative	1	-0.751464963	4	0.2133207321	1	neutral	-3	0	0	0	0	0	0	0	0
Attempting to download @Apple #Lion.... slow process...	2011-10-17 18:46:07	126006088725303000	noUser	apple	2	1	0	0	2	0	0	negative	0	-0.0678710938	0	0	1	neutral	-1	0	0	1	0	0	0	0	0
my #siri is not working! its driving me crazy! it says it cant connect to the network. It doesnt make sense because I can use safari @apple	2011-10-17 18:40:26	126004661248471000	noUser	apple	5	2	0	0	8	1	-2	negative	1	-0.990234375	4	0.3594665826	1	negative	-1	0	1	1	0	1	1	0	0
Another shrewd business model move by @Amazon http://t.co/OQJRRYFq Rooting for the dark horse in the @facebook @google @apple war? #tech	2011-10-17 18:40:01	126004552557273000	noUser	apple	4	3	0	0	4	1	-2	neutral	1	-0.6269836426	4	0.3948545456	2	positive	-3	0	0	1	1	1	0	0	0
Every time I try the voice control on my iPod Touch to send an iMessage, it starts playing &quot;Who Knew&quot; by Pink.  Still not Flawless @Apple	2011-10-17 18:37:41	126003967552524000	noUser	apple	8	2	0	0	3	0	0	negative	1	-1.4624462128	7	0.4331817366	1	neutral	-1	0	1	0	0	0	0	0	0
RT @Apple sells 4 million iPhone 4S in 3 days http://t.co/vElmtzNS via @reuters	2011-10-17 18:36:48	126003746135224000	noUser	apple	1	1	0	0	4	0	0	neutral	0	-0.0625	0	0	0	neutral	-1	0	0	0	0	0	0	0	0
Flowers &amp; Apples shower the Santa Monica @Apple store in honor of #SteveJobs http://t.co/xGf60gMs	2011-10-17 18:36:06	126003567315255000	noUser	apple	1	1	1	2	2	0	0	neutral	1	-0.125	2	0.56640625	0	neutral	-1	0	1	0	1	0	0	0	0
i used to be with @blackberry over 4-5yrs .. after all the disruptions and lost gigs thx to their service im moving to @apple #iphone	2011-10-17 18:32:14	126002597063696000	noUser	apple	3	1	0	0	1	2	-5	positive	1	-0.1765136719	5	0.6622314453	1	negative	-1	0	0	0	0	1	0	0	0
is it me or @blackberry is begging ppl not to go @apple #iphone http://t.co/X3gdBUyK	2011-10-17 18:29:49	126001989309055000	noUser	apple	1	1	0	0	4	0	0	neutral	0	-0.625	1	7.324796315515414E-4	1	neutral	-1	0	0	0	0	0	0	0	0
should be studying/ doing work but no I'm hold with @apple HURRY THE FUCK UP! #nopatience	2011-10-17 18:28:58	126001775626031000	noUser	apple	3	2	0	0	3	2	-5	negative	0	-0.203125	4	0.2738670924	0	negative	-3	0	1	0	0	0	0	0	0
Do people loved Steve? Check out this photo from @Apple store http://t.co/jIqBGghC	2011-10-17 18:28:55	126001758853009000	noUser	apple	2	4	1	3	3	0	0	neutral	0	-0.1273498535	2	0.5932533749	0	neutral	-1	0	1	0	0	0	0	0	0
Ok Hindi keyboard in #iOS5 is something to cheer about.  But @apple  what about  support for 20+ missing Indian languages!? #FAIL	2011-10-17 18:28:25	126001635162993000	noUser	apple	2	2	2	4	5	2	-4	negative	2	-0.8946533203	5	0.3413085938	1	negative	-2	1	1	1	1	1	0	1	0
RT @petapixel: iPhone 4S vs Canon 5D Mark II - A side-by-side comparison of 1080p HD video: http://t.co/qMyMIV7z &lt;&lt;@apple Wow!!	2011-10-17 18:25:16	126000843798491000	noUser	apple	2	4	1	4	3	0	0	neutral	1	-0.125	2	0.1329956036	0	neutral	-1	0	0	0	0	0	0	0	0
Apple sells 4 million iPhones in 3 days @apple keep doing what you are doing, because you are doing it well! http://t.co/ZZc6bE0w	2011-10-17 18:20:38	125999676972470000	noUser	apple	2	3	0	0	8	0	0	positive	1	-0.21875	1	0.2495348473	0	positive	-1	0	0	0	0	0	0	0	0
RT @ScottDugas: Warning: if iphone apps spontaneously loose data, it might not be the app's fault - http://t.co/1SEsvWwm #ios5downgrade @apple @marcoarment	2011-10-17 18:20:33	125999655011099000	noUser	apple	4	1	0	0	2	2	-6	negative	1	-1.0830078125	3	0.362323761	2	neutral	-2	0	0	1	0	1	0	0	0
Why @Apple so valuable, good analysis of trended profits, iOS vs. Microsoft: Comparing the bottom lines  http://t.co/k9qst4R4 via @asymco	2011-10-17 18:18:02	125999022908510000	noUser	apple	2	3	1	3	4	0	0	neutral	2	-0.2505493164	2	0.8646261115	0	neutral	-1	1	1	1	1	1	0	1	0
@audrievv @apple You can still use  #MobileMe webhosting (with or without #iWeb) after converting to #iCloud.	2011-10-17 18:16:53	125998732046123000	noUser	apple	1	1	0	0	3	0	0	neutral	0	-0.0405864716	1	0.0664978027	0	positive	-1	0	0	0	0	0	0	0	0
http://t.co/48emAEID #SteveJobs memorial @Apple #Boylston	2011-10-17 18:07:40	125996412252078000	noUser	apple	0	1	0	0	0	0	0	neutral	0	0	1	0.1875	0	neutral	-1	0	0	0	0	0	0	0	0
@betweensundays Ah! Yeah...should be an option...hopefully @apple figures that out. Thx	2011-10-17 18:07:32	125996379913986000	noUser	apple	2	2	0	0	0	0	0	negative	0	-0.1273841858	1	1.220703125E-4	0	positive	-1	0	0	0	0	0	0	0	0
I am now the proud owner of @apple tv thanks to big bro @steveeadie and family!!	2011-10-17 18:07:20	125996330500891000	noUser	apple	3	2	3	5	4	0	0	neutral	1	-0.06640625	2	0.5744247437	0	positive	-1	1	1	0	1	0	0	0	0
&quot;Waiting for items to copy&quot; in Itunes after everything DID copy goes on, and on, and on.  Come on @Apple, what the hell?	2011-10-17 18:03:06	125995264325599000	noUser	apple	2	1	0	0	2	1	-4	negative	0	-0.47265625	5	0.1250677109	1	neutral	-2	0	0	1	0	1	1	0	1
Yessss! I'm lovin the iPhone update especially the slide down bar at top of screen =) good job @Apple.	2011-10-17 18:02:41	125995158679462000	noUser	apple	4	3	2	5	4	0	0	positive	3	-0.1318664551	3	0.9649388362	2	positive	-1	1	2	0	2	0	0	1	0
RT @RobertoAFelipe: @apple predicts #Siri in 1987 in video, the video is staged for September 2011 http://t.co/tFNRP3MD	2011-10-17 18:02:02	125994997609804000	noUser	apple	1	1	0	0	5	0	0	neutral	0	-0.0625	0	0	0	neutral	-1	0	0	0	0	0	0	0	0
@Apple unhappy again with service/product quality. Won't buy @Apple again.	2011-10-17 18:01:55	125994965183635000	noUser	apple	1	1	0	0	2	1	-2	negative	0	-0.71875	2	0.5546875	1	negative	-3	0	0	0	0	1	1	0	1
Lies @apple. the battery on this new iPhone4S is definitely not any better.	2011-10-17 18:00:27	125994596336534000	noUser	apple	2	1	1	2	1	0	0	negative	2	-0.62890625	4	0.9076843262	1	neutral	-3	0	0	0	0	0	1	0	0
@apple is profiting a min of $400 per 4s.  They sold 4 million this weekend. That's another 1.6 Billion to Apples coffers! #worldRecession?	2011-10-17 17:54:31	125993105722839000	noUser	apple	5	3	0	0	4	0	0	neutral	0	-0.5625	1	0.375	0	neutral	-1	0	0	0	0	0	0	0	0
Big mo: In one week, @Apple #iCloud hits 20M users; 25M use #iOS 5 http://t.co/HTpUTBFK via @cnet	2011-10-17 17:53:28	125992838910587000	noUser	apple	0	1	1	1	4	0	0	neutral	0	0	3	0.2078170776	0	neutral	-1	0	0	0	0	0	0	0	0
Smart as hell. The Great Tech War Of 2012. http://t.co/0O1CfCIZ  Fab Four: @apple @google @amazon @facebook via @kvox #mustread	2011-10-17 17:52:29	125992594395251000	noUser	apple	4	3	2	4	2	2	-6	neutral	2	-0.8930664063	2	0.81640625	2	neutral	-3	0	0	2	0	1	1	0	1
@learmonth @Cue improves iMessage + engages @Apple content partners' customers better http://t.co/hhkvlwFB with social activity messaging	2011-10-17 17:47:57	125991449455104000	noUser	apple	2	2	3	5	1	0	0	neutral	2	-0.009765625	2	0.6443786621	0	positive	-1	1	0	0	1	0	0	0	0
@Twitter returns a Error 500 when we try to post the link to @Apple Support Community detailing how to turn off auto renewal subscriptions.	2011-10-17 17:43:07	125990236743406000	noUser	apple	4	2	1	2	5	1	-2	neutral	2	-0.4851074219	4	0.4178464711	2	neutral	-1	0	0	0	0	1	0	0	0
RT @kvox: Smart as hell. The Great Tech War Of 2012 (@fmanjoo / @FastCompany) http://t.co/XiJYUoHZ Fab Four: @apple @google @amazon @facebook	2011-10-17 17:43:03	125990217801941000	noUser	apple	4	3	2	4	2	2	-6	neutral	2	-0.8930664063	2	0.81640625	2	positive	-3	0	0	2	0	1	1	0	1
@philipgrey @apple it's kinda sad that's the most relevant tweet I've seen today. Or kinda awesome. I'm not sure. #DevProblems	2011-10-17 17:40:37	125989605634879000	noUser	apple	4	3	1	4	7	1	-2	neutral	3	-1.21875	3	1.0453261719	1	neutral	-4	0	0	0	1	0	0	0	0
Too bad I'm not an @Apple junkie. #icloud #apple #ios5	2011-10-17 17:38:59	125989196132389000	noUser	apple	5	1	0	0	2	1	-3	neutral	0	-1.1299285889	0	0	2	negative	-2	0	0	1	0	1	1	0	1
â€œ@philipgrey: dear @apple, why you gotta go change the way &lt;input type=&quot;number&quot;&gt; is handled out of the blue?â€	2011-10-17 17:38:25	125989051101741000	noUser	apple	1	2	1	2	2	0	0	negative	1	-0.0023841858	4	0.3851364236	0	neutral	-1	0	0	1	0	0	0	0	0
@Apple buried the ability to manage #newsstand subscriptions under App Store Settings. This is inconvenient at best.	2011-10-17 17:38:15	125989009091592000	noUser	apple	3	2	2	5	3	1	-2	neutral	2	-1.0788574219	3	0.390625	1	neutral	-1	0	1	1	1	2	1	0	1
Smart as hell. The Great Tech War Of 2012 (@fmanjoo / @FastCompany) http://t.co/XiJYUoHZ Fab Four: @apple @google @amazon @facebook	2011-10-17 17:37:19	125988775548559000	noUser	apple	4	3	2	4	2	2	-6	neutral	2	-0.8930664063	2	0.81640625	2	positive	-3	0	0	2	0	1	1	0	1
@apple predicts #Siri in 1987 in video, the video is staged for September 2011 http://t.co/tFNRP3MD	2011-10-17 17:36:49	125988651426513000	noUser	apple	1	1	0	0	5	0	0	neutral	0	-0.0625	0	0	0	neutral	-1	0	0	0	0	0	0	0	0
Waiting in a ridiculous line at @apple in southpointe with @Consumatory . Where the Fuck are the comment cards?	2011-10-17 17:35:48	125988395787883000	noUser	apple	2	1	0	0	6	2	-7	negative	0	-0.0703125	3	0.3437500037	1	neutral	-3	0	0	0	0	0	1	0	1
Been on hold with @apple customer service for 25 minutes. Wow, lt's like they're #timewarnercable.	2011-10-17 17:34:09	125987979784225000	noUser	apple	1	3	2	6	3	0	0	negative	2	-0.0625	4	0.54858601	0	neutral	-1	0	0	0	0	0	0	0	0
anyone else stuck in duped calendar/mail/battery sucking @apple hell? #iCloud and #OSX Lion are a disappointment	2011-10-17 17:32:01	125987439692100000	noUser	apple	3	1	0	0	5	4	-10	negative	0	-0.875	0	0	2	negative	-2	0	0	2	0	2	1	0	2
Smh at @ItsTheSituation for trying to cut in line for a 4S. Cmon mayne if @Apple's cofounder stood in line then you are too.	2011-10-17 17:19:44	125984350989861000	noUser	apple	3	1	0	0	5	1	-1	neutral	1	-0.6875	4	0.0390620596	3	neutral	-1	0	0	0	0	0	0	0	0
Go big or go home @Apple users - here are some apps that make your #4s iPhone &quot;s-s-super&quot; http://t.co/t74BQyim via @mashable - MS	2011-10-17 17:15:05	125983179877253000	noUser	apple	1	3	1	1	3	0	0	neutral	0	-0.0625	6	0.5485459828	0	neutral	-1	0	0	0	0	0	0	0	0
For being the inventor of the computer mouse â€” Why is it that @Apple has never made one that is not a complete piece of fucking shit?!!?	2011-10-17 17:11:40	125982320917365000	noUser	apple	4	1	0	0	5	2	-8	negative	0	-1.2294921875	6	0.3640155792	0	negative	-5	0	0	0	0	0	1	0	1
