content	timeStamp	tweetId	userId	topic	swn3_negative_words	sentiStrength_pos	afinn_positive_words	afinn_positiveness	swn3_neutral_words	afinn_negative_words	afinn_negativeness	label	lex_positive_words	swn3_negativeness	swn3_positive_words	swn3_positiveness	lex_negative_words	supervised_polarity	sentiStrength_neg	emo_joy	emo_anticipation	emo_fear	emo_trust	emo_sadness	emo_anger	emo_surprise	emo_disgust	sentiStrength_neu
"The Republican party is a bunch of anti-abortion zealots who couldn't draw flies to a dump."""" -- Neal Boortz (just now, on the radio)"""	Mon May 25 17:37:56 UTC 2009	226	ImportantQuotes	republican	5	1	0	0	5	2	-3	negative	1	-0.3876953125	3	0.2352294922	1	neutral	-1	0	0	0	0	0	0	0	0	neutral
"is Twitter's connections API broken? Some tweets didn't make it to Twitter..."""	Mon May 25 17:46:06 UTC 2009	227	fwhamm	twitter api	1	1	0	0	3	1	-1	negative	0	-0.0147705078	2	0.4062500298	0	negative	-1	0	0	1	0	1	1	0	0	neutral
"i srsly hate the stupid twitter API timeout thing, soooo annoying!!!!! :("""	Mon May 25 17:46:24 UTC 2009	228	jos897	twitter api	5	2	0	0	1	3	-7	negative	0	-1.2041015625	0	0	3	negative	-4	0	0	1	0	1	2	0	1	negative
"@psychemedia I really liked @kswedberg's """"Learning jQuery"""" book. http://bit.ly/pg0lT is worth a look too"""	Wed May 27 00:34:21 UTC 2009	233	jystewart	jquery book	3	4	2	4	0	0	0	positive	2	-0.15625	6	1.2885437012	1	positive	-1	0	0	0	0	0	0	0	0	positive
"jQuery UI 1.6 Book Review - http://cfbloggers.org/?c=30631"""	Wed May 27 00:34:47 UTC 2009	234	cfbloggers	jquery book	0	1	0	0	1	0	0	neutral	0	0	2	0.0098266602	0	neutral	-1	0	0	0	0	0	0	0	0	neutral
"Very Interesting Ad from Adobe by Goodby, Silverstein &amp; Partners - YouTube - Adobe CS4: Le Sens Propre http://bit.ly/VprpT"""	Wed May 27 00:38:56 UTC 2009	235	CaerusMe	goodby silverstein	2	3	1	2	4	0	0	positive	1	-0.5	4	0.734375	0	neutral	-1	0	0	0	0	0	0	0	0	positive
"Goodby Silverstein agency new site! http://www.goodbysilverstein.com/ Great!"""	Wed May 27 00:39:13 UTC 2009	236	HallandPartners	goodby silverstein	0	4	1	3	4	0	0	positive	1	0	2	0.1422119141	0	neutral	-1	0	0	0	0	0	0	0	0	positive
"RT @designplay Goodby, Silverstein's new site: http://www.goodbysilverstein.com/ I enjoy it. *nice find!*"""	Wed May 27 00:39:21 UTC 2009	237	suedecrush	goodby silverstein	2	3	2	5	4	0	0	positive	2	-0.034655571	3	0.8297119141	0	positive	-1	1	1	0	1	0	0	0	0	positive
"The ever amazing Psyop and Goodby Silverstein &amp; Partners for HP! http://bit.ly/g2rU8 Have to go play with After Effects now!"""	Wed May 27 00:41:13 UTC 2009	238	_imageworks	goodby silverstein	3	3	1	4	6	0	0	positive	1	-0.2533597946	3	0.5639652591	0	positive	-1	0	0	0	0	0	0	0	0	positive
"top ten most watched on Viral-Video Chart.  Love the nike #mostvaluablepuppets campaign from Wieden &amp; Kennedy http://bit.ly/nR1n9"""	Wed May 27 00:42:22 UTC 2009	239	dustinrowley	wieden	1	3	2	5	6	0	0	positive	2	-3.814697265625E-6	2	0.3835449219	0	neutral	-1	1	1	0	2	0	0	0	0	positive
"zomg!!! I have a G2!!!!!!!"""	Wed May 27 23:49:47 UTC 2009	251	xzela	g2	3	2	0	0	0	0	0	positive	0	-0.2182035446	0	0	0	neutral	-1	0	0	0	0	0	0	0	0	positive
"Ok so lots of buzz from IO2009 but how lucky are they - a Free G2!! http://is.gd/Hyzl"""	Wed May 27 23:49:59 UTC 2009	252	mobiledreams	g2	2	2	2	4	4	0	0	positive	2	-0.11328125	3	0.8991465569	0	neutral	-1	1	1	1	0	0	0	1	0	positive
"just got a free G2 android at google i/o!!!"""	Wed May 27 23:50:46 UTC 2009	253	crashfaster	g2	2	2	1	1	2	0	0	positive	2	-0.125	2	0.2123789787	0	neutral	-1	0	0	0	0	0	0	0	0	positive
"Guess I'll be retiring my G1 and start using my developer G2 woot #googleio"""	Wed May 27 23:51:30 UTC 2009	254	dragonal	g2	4	1	0	0	2	0	0	positive	0	-0.5156214237	1	1.220703125E-4	0	neutral	-1	0	1	0	0	0	0	1	0	neutral
"At GWT fireside chat @googleio"""	Wed May 27 23:56:56 UTC 2009	255	mastooo	googleio	0	1	0	0	2	0	0	neutral	0	0	1	0.03125	0	neutral	-1	0	0	0	0	0	0	0	0	neutral
"I am happy for Philip being at GoogleIO today"""	Wed May 27 23:59:18 UTC 2009	256	maex242	googleio	2	2	1	3	3	0	0	positive	1	-0.0625	2	0.53125	0	positive	-1	1	1	0	1	0	0	0	0	positive
"Lakers played great!  Cannot wait for Thursday night Lakers vs. ???"""	Sat May 30 17:46:39 UTC 2009	317	specs20	lakers	2	4	1	3	2	0	0	positive	1	-0.1435546875	1	0.06640625	0	positive	-1	0	1	0	0	0	0	0	0	positive
"Hi there, does anyone have a great source for advice on viral marketing?... http://link.gs/YtZ8"""	Sun May 31 06:51:14 UTC 2009	328	BrandKarma	viral marketing	2	3	1	3	6	0	0	neutral	2	-0.1869535446	2	0.09765625	0	neutral	-1	0	0	0	1	0	0	0	0	positive
"Judd Apatow creates fake sitcom on NBC.com to market his new movie... viral marketing at its best. http://is.gd/K0yK"""	Sun May 31 06:51:30 UTC 2009	329	mattcad	viral marketing	1	2	1	3	6	1	-3	positive	1	-0.21875	3	0.2437744141	1	neutral	-2	0	0	0	0	0	0	0	0	negative
"Here's A case study on how to use viral marketing to add over 10,000 people to your list http://snipr.com/i50oz"""	Sun May 31 06:51:34 UTC 2009	330	grahamgrimshaw	viral marketing	1	2	0	0	6	0	0	neutral	0	-0.0625	6	0.3302764893	0	neutral	-1	0	0	1	0	1	0	0	0	positive
"VIRAL MARKETING FAIL. This Acia Pills brand oughta get shut down for hacking into people's messenger's.  i get 5-6 msgs in a day! Arrrgh!"""	Sun May 31 06:51:44 UTC 2009	331	nicoleisms	viral marketing	5	2	0	0	5	1	-2	negative	0	-0.4952392578	4	0.1346221138	2	neutral	-2	0	0	0	1	0	0	0	0	negative
"watching Night at The Museum . Lmao"""	Tue Jun 02 02:54:09 UTC 2009	388	Cristinellaa	"night at the museum"""""	1	3	1	4	3	0	0	positive	0	-0.0029296875	0	0	0	neutral	-1	0	0	0	0	0	0	0	0	positive
"i loved night at the museum!!!"""	Tue Jun 02 02:54:12 UTC 2009	389	MzJill	"night at the museum"""""	2	4	1	3	2	0	0	positive	0	-0.0341796875	1	0.5	0	neutral	-1	0	0	0	0	0	0	0	0	positive
"going to see the new night at the museum  movie with my family oh boy a three year old in the movies fuin"""	Tue Jun 02 02:54:22 UTC 2009	390	Lynn_Sky	"night at the museum"""""	3	1	0	0	8	0	0	neutral	0	-0.2529296875	4	0.1661993265	0	positive	-1	0	0	0	0	0	0	0	1	neutral
"just got back from the movies.  went to see the new night at the museum with rachel.  it was good"""	Tue Jun 02 02:54:40 UTC 2009	391	bobster56	"night at the museum"""""	1	2	1	3	4	0	0	positive	3	-0.0029296875	5	1.1306789517	0	positive	-1	1	1	0	1	0	0	1	0	positive
"Just saw the new Night at the Museum movie...it was...okay...lol 7\10"""	Tue Jun 02 02:54:44 UTC 2009	392	jordanforeman	"night at the museum"""""	1	1	0	0	3	0	0	neutral	1	-0.0029296875	2	0.2484130859	0	neutral	-1	0	0	0	0	0	0	0	0	neutral
"Going to see night at the museum 2 with tall boy"""	Tue Jun 02 02:54:51 UTC 2009	393	britree	"night at the museum"""""	2	1	0	0	3	0	0	neutral	0	-0.1904296875	3	0.095276475	0	neutral	-1	0	0	0	0	0	0	0	1	neutral
"@shannyoday I will take you on a date to see night at the museum 2 whenever you want...it looks soooooo good"""	Tue Jun 02 02:55:16 UTC 2009	394	jellz	"night at the museum"""""	4	2	1	3	3	0	0	positive	2	-0.0983886719	5	0.8861730713	0	neutral	-1	1	1	0	1	0	0	1	0	positive
"no watching The Night At The Museum. Getting Really Good"""	Tue Jun 02 02:55:25 UTC 2009	395	droherty	"night at the museum"""""	2	3	1	3	4	1	-1	positive	1	-0.1513671875	2	1.0990011115	0	neutral	-1	1	1	0	1	0	0	1	0	positive
"Night at the Museum, Wolverine and junk food - perfect monday!"""	Tue Jun 02 02:55:39 UTC 2009	396	sarahbrooke	"night at the museum"""""	2	2	1	3	4	0	0	positive	1	-0.0341796875	2	0.2109375	1	positive	-1	2	1	0	2	0	0	0	0	positive
"saw night at the museum 2 last night.. pretty crazy movie.. but the cast was awesome so it was well worth it. Robin Williams forever!"""	Tue Jun 02 02:55:49 UTC 2009	397	jeremyempire	"night at the museum"""""	5	3	3	7	11	1	-2	positive	4	-0.423828125	5	1.1889561434	1	positive	-1	1	1	1	1	1	1	0	0	positive
"I saw Night at the Museum: Battle of the Swithsonian today. It was okay. Your typical [kids] Ben Stiller movie."""	Tue Jun 02 02:56:01 UTC 2009	398	MirandaClues	"night at the museum"""""	3	1	0	0	5	1	-1	neutral	1	-0.1591796875	4	0.59375	1	neutral	-1	0	0	0	0	0	1	0	0	neutral
"Taking Katie to see Night at the Museum.  (she picked it)"""	Tue Jun 02 02:56:25 UTC 2009	399	RGuad08	"night at the museum"""""	1	1	0	0	3	0	0	neutral	0	-0.0029296875	2	0.314026475	0	neutral	-1	0	0	0	0	0	0	0	0	neutral
"Night at the Museum tonite instead of UP. :( oh well. that 4 yr old better enjoy it. LOL"""	Tue Jun 02 02:56:38 UTC 2009	400	xshallsx	"night at the museum"""""	1	3	3	7	7	0	0	negative	3	-0.0029296875	5	1.2708666344	0	neutral	-1	1	1	0	1	0	0	0	0	positive
"GM says expects announcment on sale of Hummer soon - Reuters: WDSUGM says expects announcment on sale of Hummer .. http://bit.ly/4E1Fv"""	Tue Jun 02 03:00:25 UTC 2009	401	EconomyUpdates	gm	3	1	0	0	1	0	0	neutral	0	-0.5	4	0.1875	0	neutral	-1	0	0	0	0	0	0	0	0	neutral
"It's unfortunate that after the Stimulus plan was put in place twice to help GM on the back of the American people has led to the inevitable"""	Tue Jun 02 03:01:10 UTC 2009	402	mshbrown	gm	3	1	1	2	10	0	0	negative	2	-0.7986049805	4	0.2194185236	2	neutral	-2	0	1	0	0	1	0	0	0	negative
"Tell me again why we are giving more $$ to GM?? We should use that $ for all the programs that support the unemployed."""	Tue Jun 02 03:02:17 UTC 2009	403	misschris62	gm	1	2	1	2	6	0	0	negative	1	-0.4375	5	0.885345459	0	neutral	-1	0	0	1	0	1	0	0	0	positive
"@jdreiss oh yes but if GM dies it will only be worth more boo hahaha"""	Tue Jun 02 03:05:13 UTC 2009	404	artbynemo	gm	2	2	3	6	5	0	0	negative	3	-0.0703125	4	0.3634033203	0	neutral	-1	0	0	0	0	0	0	0	0	positive
"Time Warner cable is down again 3rd time since Memorial Day bummer!"""	Tue Jun 02 03:14:36 UTC 2009	405	windhamgirl	time warner	1	2	0	0	4	1	-2	negative	0	-0.3125	5	0.3068556935	1	negative	-1	0	2	0	0	0	1	1	1	positive
"I would rather pay reasonable yearly taxes for """"free"""" fast internet, than get gouged by Time Warner for a slow connection."""	Tue Jun 02 03:15:11 UTC 2009	406	mmmPi	time warner	7	1	1	1	2	1	-1	negative	2	-0.5671386719	6	0.5601458559	1	neutral	-1	1	2	0	1	0	0	0	0	neutral
"NOOOOOOO my DVR just died and I was only half way through the EA presser. Hate you Time Warner"""	Tue Jun 02 03:15:23 UTC 2009	407	NDEddieMac	time warner	4	2	0	0	2	2	-6	negative	1	-0.5625	4	0.181640625	1	negative	-4	0	1	1	0	1	1	0	1	negative
"F*ck Time Warner Cable!!! You f*cking suck balls!!! I have a $700 HD tv &amp; my damn HD channels hardly ever come in. Bullshit!!"""	Tue Jun 02 03:15:54 UTC 2009	408	yourboysdot	time warner	6	2	0	0	6	3	-11	negative	0	-0.7182035446	3	0.0217962265	2	negative	-2	0	1	0	0	0	1	1	1	negative
"time warner has the worse customer service ever. I will never use them again"""	Tue Jun 02 03:16:16 UTC 2009	409	Shazzainla	time warner	3	1	0	0	4	1	-3	negative	1	-0.46875	4	0.0905075684	1	negative	-3	0	1	1	0	1	0	0	0	negative
"Time warner is the devil. Worst possible time for the Internet to go out."""	Tue Jun 02 03:16:27 UTC 2009	410	dstalk	time warner	3	1	0	0	2	1	-3	negative	0	-0.3361654358	4	0.4191895109	2	neutral	-3	0	3	1	0	1	1	0	1	negative
"Fuck no internet damn time warner!"""	Tue Jun 02 03:16:37 UTC 2009	411	ernestalfonso	time warner	2	2	0	0	3	3	-9	negative	0	-0.3984375	1	0.0061035156	1	negative	-3	0	1	0	0	0	1	0	1	negative
"time warner really picks the worst time to not work. all i want to do is get to mtv.com so i can watch the hills. wtfffff."""	Tue Jun 02 03:16:49 UTC 2009	412	kaaatiee	time warner	6	2	1	1	3	1	-3	negative	1	-1.3256492615	7	1.0562785503	1	neutral	-3	0	3	1	0	0	0	0	0	negative
"I hate Time Warner! Soooo wish I had Vios. Cant watch the fricken Mets game w/o buffering. I feel like im watching free internet porn."""	Tue Jun 02 03:17:04 UTC 2009	413	JasonNegron	time warner	7	2	3	4	4	1	-3	negative	3	-0.6602478027	5	0.542573452	2	negative	-4	0	2	2	0	1	1	0	2	negative
"Ahh...got rid of stupid time warner today &amp; now taking a nap while the roomies cook for me. Pretty good end for a monday :)"""	Tue Jun 02 03:17:26 UTC 2009	414	elphabablue	time warner	7	3	2	4	5	1	-2	negative	2	-0.68359375	5	1.6051046271	2	positive	-2	3	3	0	2	0	0	1	0	positive
"Time Warner's HD line up is crap."""	Tue Jun 02 03:17:55 UTC 2009	415	gabe_rp	time warner	1	1	0	0	1	1	-3	negative	0	-0.15625	3	0.0598144568	0	neutral	-3	0	1	0	0	0	0	0	1	negative
"is being fucked by time warner cable. didnt know modems could explode. and Susan Boyle sucks too!"""	Tue Jun 02 03:18:50 UTC 2009	416	JoeyCircles	time warner	3	2	0	0	4	2	-7	negative	0	-0.4111328125	2	0.0869750977	2	negative	-3	0	1	1	0	1	1	2	0	negative
"Time Warner Cable Pulls the Plug on 'The Girlfriend Experience' - (www.tinyurl.com/m595fk)"""	Tue Jun 02 03:22:07 UTC 2009	417	ScooPost	time warner	2	1	0	0	3	0	0	neutral	0	-0.0307617188	2	0.0373535156	0	neutral	-1	0	1	0	0	0	0	1	0	neutral
"Time Warner Cable slogan: Where calling it a day at 2pm Happens."""	Tue Jun 02 03:23:50 UTC 2009	418	adamjleach	time warner	1	1	0	0	6	0	0	negative	0	-0.0625	2	0.0695800781	0	neutral	-1	0	1	0	0	0	0	1	0	neutral
"Rocawear Heads to China, Building 300 Stores  - http://tinyurl.com/nofet3"""	Tue Jun 02 03:24:43 UTC 2009	419	HYPHYROCKSTAR	china	1	1	0	0	1	0	0	neutral	0	-0.25	1	0.0625	0	neutral	-1	0	0	0	0	0	0	0	0	neutral
"Climate focus turns to Beijing: The United Nations, the US and European governments have called on China to co-o.. http://tinyurl.com/lto92n"""	Tue Jun 02 03:24:47 UTC 2009	420	BreakingBizNews	china	1	1	1	1	5	0	0	neutral	0	-0.1244535446	3	0.1116333008	0	neutral	-1	0	0	0	1	0	0	0	0	neutral
"myfoxdc Barrie Students Back from Trip to China: A Silver Spring high school's class trip to China has en.. http://tinyurl.com/nlhqba"""	Tue Jun 02 03:24:57 UTC 2009	421	myfoxdc	china	1	1	0	0	3	0	0	neutral	1	-0.0625	9	0.6043691617	0	neutral	-1	0	0	0	1	0	0	2	0	neutral
"Three China aerospace giants develop Tianjin Binhai  New Area,  22.9 B yuan invested   http://bit.ly/mMiDv"""	Tue Jun 02 03:25:01 UTC 2009	422	drlombardo	china	0	1	0	0	6	0	0	neutral	0	0	3	0.1401367188	0	neutral	-1	0	1	0	0	0	0	0	0	neutral
"http://xi.gs/04FO GM CEO: China will continue to be key partner"""	Tue Jun 02 03:27:27 UTC 2009	423	sinostream	gm	0	1	0	0	4	0	0	neutral	1	0	4	0.066532135	0	neutral	-1	0	1	0	1	0	0	0	0	neutral
"RT @LATimesautos is now the time to buy a GM car? http://bit.ly/nRzlu"""	Tue Jun 02 03:27:48 UTC 2009	424	hammerauto	gm	2	1	0	0	2	0	0	neutral	0	-0.06640625	2	0.2756347656	0	neutral	-1	0	1	0	0	0	0	0	0	neutral
"Recovering from surgery..wishing @julesrenner was here :("""	Tue Jun 02 03:29:23 UTC 2009	425	scoralli	surgery	0	1	0	0	1	0	0	negative	0	0	1	0.25	0	negative	-1	0	0	0	0	0	0	0	0	neutral
"My wrist still hurts. I have to get it looked at. I HATE the dr/dentist/scary places. :( Time to watch Eagle eye. If you want to join, txt!"""	Tue Jun 02 03:29:53 UTC 2009	426	sardonnica	dentist	6	2	2	2	5	2	-5	positive	1	-0.9790048599	4	0.4173011789	1	neutral	-4	0	2	2	1	1	1	0	1	negative
"Dentist tomorrow. Have to brush well in the morning. Like I make my hair all nice before I get it cut. Why?"""	Tue Jun 02 03:32:14 UTC 2009	427	BChasnov	dentist	5	2	2	5	7	1	-1	neutral	3	-0.2182416916	7	1.4239156863	1	neutral	-1	0	1	0	0	0	0	0	0	positive
"THE DENTIST LIED! """" U WON'T FEEL ANY DISCOMORT! PROB WON'T EVEN NEED PAIN PILLS"""" MAN U TWIPPIN THIS SHIT HURT!! HOW MANY PILLS CAN I TAKE!!"""	Tue Jun 02 03:32:33 UTC 2009	428	LILJIZZEL	dentist	5	2	0	0	7	4	-10	negative	1	-1.1894226074	4	0.1811323166	2	negative	-4	0	0	2	0	2	2	0	1	negative
"@kirstiealley my dentist is great but she's expensive...=("""	Tue Jun 02 03:32:45 UTC 2009	429	giz2000	dentist	0	3	1	3	2	0	0	negative	1	0	2	0.56640625	1	neutral	-1	0	0	0	0	0	0	0	0	positive
"@kirstiealley Pet Dentist http://www.funnyville.com/fv/pictures/dogdentures.shtml"""	Tue Jun 02 03:33:30 UTC 2009	430	cmonaussiecmon	dentist	0	1	0	0	1	0	0	neutral	0	0	1	0.09375	0	neutral	-1	0	0	0	0	0	0	0	0	neutral
"is studing math ;) tomorrow exam and dentist :)"""	Tue Jun 02 03:33:53 UTC 2009	431	sorayabouby	dentist	1	1	0	0	3	0	0	positive	0	-0.03125	0	0	0	neutral	-1	0	1	0	0	0	0	0	0	neutral
"my dentist was wrong... WRONG"""	Tue Jun 02 03:34:27 UTC 2009	432	jeffreymodest	dentist	2	1	0	0	1	2	-4	negative	0	-0.9796142578	0	0	2	negative	-2	0	0	0	0	0	0	0	0	negative
"Going to the dentist later.:|"""	Tue Jun 02 03:34:39 UTC 2009	433	yowneh	dentist	1	1	0	0	2	0	0	negative	0	-0.1875	0	0	0	neutral	-1	0	0	0	0	0	0	0	0	neutral
"Son has me looking at cars online.  I hate car shopping.  Would rather go to the dentist!  Anyone with a good car at a good price to sell?"""	Tue Jun 02 03:34:58 UTC 2009	434	CWilliams_Rltr	dentist	5	2	2	6	10	1	-3	negative	2	-0.671875	5	1.5136761088	1	negative	-4	3	3	1	3	1	1	3	1	negative
"NCAA Baseball Super Regional - Rams Club http://bit.ly/Ro7nx"""	Tue Jun 02 04:29:16 UTC 2009	435	SimpleManJess	baseball	0	3	1	3	2	0	0	neutral	1	0	2	0.0079345703	0	neutral	-1	0	0	0	0	0	0	0	0	positive
"just started playing Major League Baseball 2K9. http://raptr.com/H3LLGWAR"""	Tue Jun 02 04:29:26 UTC 2009	436	H3LLGWAR	baseball	0	2	0	0	3	0	0	neutral	1	0	2	0.1807556152	0	neutral	-1	0	0	0	0	0	0	0	0	positive
"Cardinals baseball advance to Super Regionals. Face CS-Fullerton Friday."""	Tue Jun 02 04:29:30 UTC 2009	437	LouisvilleGrads	baseball	1	3	1	3	2	0	0	neutral	1	-0.0048866272	2	0.1357543468	0	neutral	-1	1	1	1	0	0	0	1	0	positive
"Sony coupon code.. Expires soon.. http://www.coupondork.com/r/1796"""	Tue Jun 02 04:39:24 UTC 2009	438	SwainFamily	sony	1	1	0	0	1	0	0	neutral	0	-0.125	1	0.0625	0	neutral	-1	0	0	0	0	0	0	0	0	neutral
"waiting in line at safeway."""	Tue Jun 02 04:39:49 UTC 2009	439	neeeelia	safeway	0	2	0	0	2	0	0	neutral	0	0	2	0.1250000037	0	neutral	-1	0	0	0	0	0	0	0	0	positive
"luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts. how jacked up is that?"""	Tue Jun 02 04:39:59 UTC 2009	440	ryanlipert	safeway	3	2	0	0	2	2	-2	negative	0	-0.0863637924	3	0.3100585938	1	neutral	-1	0	0	0	0	0	0	0	0	positive
"Did not realize there is a gym above Safeway!"""	Tue Jun 02 04:41:03 UTC 2009	441	evan	safeway	2	3	0	0	2	0	0	neutral	1	-0.6875	2	0.06640625	0	neutral	-1	0	0	0	0	0	0	0	0	positive
"@XPhile1908 I have three words for you: """"Safeway dot com"""""""	Tue Jun 02 04:41:07 UTC 2009	442	ronjon	safeway	4	2	0	0	1	0	0	neutral	0	-0.2767972946	0	0	0	positive	-1	0	0	0	0	0	1	0	0	positive
"Safeway is very rock n roll tonight"""	Tue Jun 02 04:41:19 UTC 2009	443	missleigh	safeway	1	3	0	0	2	0	0	positive	0	-0.0038833023	2	0.2416992188	0	neutral	-1	0	0	0	0	0	0	0	0	positive
"Bout to hit safeway I gotta eat"""	Tue Jun 02 04:41:36 UTC 2009	444	SharkKMV	safeway	3	2	0	0	0	0	0	neutral	0	-0.3984376639	1	0.125	0	neutral	-1	0	0	0	0	0	2	0	0	positive
"Jake's going to safeway!"""	Tue Jun 02 04:41:48 UTC 2009	445	bosZmom	safeway	1	3	0	0	0	0	0	neutral	0	-0.1875	0	0	0	neutral	-1	0	0	0	0	0	0	0	0	positive
"Found a safeway. Picking up a few staples."""	Tue Jun 02 04:41:58 UTC 2009	446	penlynwilson	safeway	2	2	0	0	3	0	0	neutral	0	-0.125	1	0.0537109375	0	neutral	-1	1	0	0	1	0	0	0	0	positive
"Safeway Super-marketing via mobile coupons http://bit.ly/ONH7w"""	Tue Jun 02 04:42:28 UTC 2009	447	mobileadgirl	safeway	0	3	0	0	0	0	0	neutral	0	0	1	0.0048828125	0	neutral	-1	0	1	0	0	0	0	0	0	positive
"The safeway bathroom still smells like ass!"""	Tue Jun 02 04:42:34 UTC 2009	448	phantomzangel	safeway	1	2	1	2	2	1	-4	negative	1	-0.0405864716	1	0.1801757813	0	neutral	-1	0	0	0	0	0	0	0	0	positive
"At safeway on elkhorn, they move like they're dead!"""	Tue Jun 02 04:42:46 UTC 2009	449	BreezB	safeway	0	2	1	2	1	1	-3	negative	1	0	4	0.2625359297	1	neutral	-1	0	0	0	0	0	0	0	0	positive
"Your Normal Weight (and How to Get There) ? Normal Eating Blog http://bit.ly/ZeT8O"""	Tue Jun 02 06:53:03 UTC 2009	451	nonstopdiets	eating	3	1	0	0	3	0	0	neutral	2	-0.1101074219	1	0.0137367258	0	neutral	-1	1	1	1	1	1	0	1	1	neutral
"Is Eating and Watching Movies...."""	Tue Jun 02 06:53:11 UTC 2009	452	janelleshanks	eating	0	1	0	0	2	0	0	neutral	0	0	0	0	0	positive	-1	0	0	0	0	0	0	0	0	neutral
"eating sashimi"""	Tue Jun 02 06:53:27 UTC 2009	456	hanaho	eating	1	1	0	0	1	0	0	neutral	0	-0.125	0	0	0	neutral	-1	0	0	0	0	0	0	0	0	neutral
"is eating  home made yema"""	Tue Jun 02 06:53:37 UTC 2009	457	Fiel	eating	0	1	0	0	1	0	0	neutral	0	0	2	0.12890625	0	neutral	-1	0	0	0	0	0	0	0	0	neutral
"eating cake"""	Tue Jun 02 06:54:16 UTC 2009	458	aaindefenzo	eating	1	1	0	0	1	0	0	neutral	0	-0.015625	0	0	0	neutral	-1	0	0	0	0	0	0	0	0	neutral
"i love Dwight Howard's vitamin water commercial... now i wish he was with NIKE and not adidas. lol."""	Thu Jun 04 16:49:55 UTC 2009	531	CrownRoyal8	nike	7	3	4	8	4	0	0	positive	2	-0.8742675781	1	0.3522949219	0	neutral	-1	1	0	0	0	0	0	0	0	positive
"Found NOTHING at Nike Factory :/ Off to Banana Republic Outlet! http://myloc.me/2zic"""	Thu Jun 04 16:52:36 UTC 2009	532	MrGQ	nike	1	2	0	0	7	0	0	negative	0	-0.3540039063	1	0.015625	0	positive	-1	1	0	0	1	0	0	0	0	positive
"iPhone May Get Radio Tagging and Nike  : Recently-released iTunes version 8.2 suggests that VoiceOver functional.. http://tinyurl.com/oq5ctc"""	Thu Jun 04 16:53:09 UTC 2009	533	ngngfrancis	nike	0	1	0	0	5	0	0	neutral	1	0	2	0.1152992258	0	neutral	-1	0	0	0	0	0	0	0	0	neutral
"is lovin his Nike  already and that's only from running on the spot in his bedroom"""	Thu Jun 04 16:54:23 UTC 2009	534	mikelongden	nike	1	3	0	0	3	0	0	positive	0	-0.0078125	4	0.4490203857	1	neutral	-1	0	0	0	0	0	0	0	0	positive
"Launched! http://imgsearch.net  #imgsearch #ajax #jquery #webapp"""	Sun Jun 07 01:12:50 UTC 2009	556	imgsearch	jquery	0	2	1	1	1	0	0	neutral	0	0	0	0	0	neutral	-1	0	0	0	0	0	0	0	0	positive
"@matthewcyan I finally got around to using jquery to make my bio collapse. Yay for slide animations."""	Sun Jun 07 01:13:52 UTC 2009	557	teagone	jquery	1	2	0	0	4	1	-2	positive	0	-0.03125	3	0.3746338189	1	positive	-1	1	1	1	1	1	0	1	2	positive
"RT @jquery: The Ultimate jQuery List - http://jquerylist.com/"""	Sun Jun 07 01:14:08 UTC 2009	558	marcroberts	jquery	1	1	0	0	1	0	0	neutral	1	-0.03125	0	0	0	neutral	-1	0	1	0	0	1	0	0	0	neutral
"I just extracted and open-sourced a jQuery plugin from Stormweight to highlight text with a regular expression: http://bit.ly/ybJKb"""	Sun Jun 07 01:14:15 UTC 2009	559	jacobrothstein	jquery	5	1	1	2	1	0	0	neutral	2	-0.1873226166	2	0.1882324219	0	neutral	-1	0	0	0	0	0	0	0	0	neutral
"@anna_debenham what was the php jquery hack?"""	Sun Jun 07 01:14:19 UTC 2009	560	bedroomation	jquery	1	1	0	0	0	0	0	neutral	0	-4.8828125E-4	0	0	0	neutral	-2	0	0	0	0	0	0	0	0	negative
"jQuery Cheat Sheet http://www.javascripttoolbox.com/jquery/cheatsheet/"""	Sun Jun 07 01:14:42 UTC 2009	561	vmkobs	jquery	1	1	0	0	1	1	-3	neutral	0	-0.2788085938	0	0	1	neutral	-3	0	0	0	0	0	1	0	1	negative
"Beginning JavaScript and CSS Development with jQuery #javascript #css #jquery http://bit.ly/TO3e5"""	Sun Jun 07 01:15:04 UTC 2009	562	NewTechBooks	jquery	0	1	0	0	1	0	0	neutral	0	0	1	0.0625	0	neutral	-1	0	0	0	0	0	0	0	0	neutral
"@PDubyaD right!!! LOL we'll get there!! I have high expectations, Warren Buffet style."""	Sun Jun 07 03:27:57 UTC 2009	563	adthomas3	warren buffet	3	2	1	3	2	0	0	positive	1	-0.1774848067	4	0.1998319635	0	neutral	-1	0	0	0	0	0	1	0	0	positive
"RT @blknprecious1: RT GREAT @dbroos """"Someone's sitting in the shade today because someone planted a tree a long time ago.""""- Warren Buffet"""	Sun Jun 07 03:28:08 UTC 2009	564	Alfred04654	warren buffet	5	3	1	3	7	0	0	positive	1	-0.1949768066	4	0.2131347656	1	positive	-1	1	3	0	1	0	2	1	1	positive
"Warren Buffet on the economy http://ping.fm/Lau0p"""	Sun Jun 07 03:28:50 UTC 2009	565	LovelyMiska	warren buffet	1	1	0	0	1	0	0	neutral	0	-0.03125	2	0.09375	0	neutral	-1	0	0	0	1	0	1	0	0	neutral
